origin,translation
bottega da spezier da confettura,spice shop for jam
casa serve per bigiardo,house is needed for billiard
Casa contigua in agiunta del soler di sopra alla casa domenical,adjacent house added to the upper floor of the sunday house
Casette numero tre tenute per l'Amore di Dio,small houses number three held for the love of god
Casa divisa in tre soleri,house divided into three solariums
Casa e Bottega di Fabro,house and blacksmith's shop
Bottega di remessi e casa in tre soleri,workshop of surrenders and house in three solariums
CAsetta,small house
Cas,cases
Soffita della Casa sudetta,attic of the aforementioned house
Casa abitata da lui,house inhabited by him
Inviamento o gia posto da lasagner era l'insegna della madonna della salute ora.,sending or already placed by lasagner was the sign of the madonna of health now.
"Casa in soler detta l'Ospedaletto di San Giovanni Battista, si dispensa per carità a poveri","house in soler called the little hospital of saint john the baptist, it is dispensed for charity to the poor"
casa in 2 soleri e casetta pepian,house in 2 solar and small pepian house
Bottega da Oglio,oglio's workshop
Inviamento da Frutariol,sending from frutariol
Portion di detto magazen di sua ragion e per suo uso,portion of said warehouse of his reason and for his use
bottega o magazen da luganegher con inviamento,butcher shop or warehouse with delivery
case ventiquattro date per carità,twenty-four houses given for charity
Casa e Bottega da marangon,house and carpenter's shop
Casa da partioro et bottegha da fruttaruol cavata da un magazen di detta casa,house from partition and fruit shop carved out from a warehouse of said house
Inviamento unito con calle dell'Aseo,joined delivery with aseo street
bottega chiusa,closed shop
Casa dominicale con cortivo per proprio uso,manor house with courtyard for personal use
Bottega Zavater,zavater workshop
"Casa, et Maghazenetto","house, and small warehouse"
casa pepian e soler con orto,pepian house and soler with garden
Bottega Volta e Camerin,volta workshop and storeroom
libertà delle barche di piove di sacco,freedom of the boats of piove di sacco
Casa e bottega da sartor,house and tailor's shop
bottega da scaleter con casa,shop with house for rent
"casa, bottega da fabro e magazen","house, blacksmith's shop and warehouse"
Casa in soler di più Altra camera,house on the ground floor with additional room
Casa e bottega calderer,house and calderer's shop
altra porzione di bottega,another portion of the shop
luoco come magazeno per fuochi e ordigni,place as a warehouse for fires and devices
Altro apartamento,other apartment
In detta casa soler di sopra,in said upper house usually
Portion delle suddette casa e bottega,portion of the aforementioned house and shop
due mezzadi della bottega,two halves of the shop
Bottega d'aque,water shop
"Caratti 12 di Casa, e Botteghe",12 plots of houses and shops
bottega era da acquavite ora da barbier,"the shop was once for spirits, now for a barber"
bottega con magazen,shop with warehouse
Bottega da fruttarol,fruit stall
Scuola delli Marzari,school of the marzari
Casa e bottega di calderer,house and coppersmith's shop
"casa in cinque appartamenti, altra parte del secondo appartamento","house in five apartments, another part of the second apartment"
bottega da erbarol e naranzer e casa in due soleri,herb shop and orange seller and house on two floors
casa pepian e biacaria,pepian house and small farm
Bottega e Casa Luganegher,shop and luganegher house
officio de fustagneri,office of barrel makers
Magazeni numero 7 Chiusi,warehouses number 7 closed
Bottega di Colori,color workshop
"due case, vuote","two houses, empty"
Bottegha da callegher vuota,empty cobbler's shop
Bottega da callegher,cobbler's workshop
bottega con due volte,shop with two vaults
bottega sartor,tailor's shop
"Casa, e Bottega da Erbariol","house, and herbalist's shop"
Botegha da Perucchier,barber shop
"casa, terzo soler","house, third floor"
casetta diroccata,dilapidated cottage
Casa sopra di questa,house above this
"Casa propria, soler di sopra","own house, upper floor"
"casa in cinque appartamenti, quarto appartamento","house into five apartments, fourth apartment"
Zovinova,young vine
Bottega da confetti  ed Oglio di mandorle,confetti shop and almond oil
Botegha da medicinali,apothecary shop
"Bottega, e Camerin","workshop, and small room"
Casa con Bottega d'intagliador,house with carver's workshop
"Casa in soler, et Botegha","house on the ground floor, and shop"
Casa con Bottega da stramazzer,house with shop for ragman
Casa e Bottega da Tavele,house and workshop from tavele
"Bottega, porzion della Residenza del Pievano","workshop, portion of the residence of the parish priest"
casa in solaro vuota,empty house in solaro
Casa con Bottega,house with shop
Casa e Bottega Spitier medicine,house and shop spitier medicine
Bottega di marangon,carpenter's workshop
Volta numero 13,turn number 13
"Scoletta attacata alla chiesa, serve per esiger li soldi spettanti alla Milizia del Mar","small school attached to the church, used to demand the money owed to the militia of the sea"
"Casa, Bottega et Maghazen","house, shop and warehouse"
Scola de Marzeri,school of mariners
Bottegha d'erbarol,herbalist's shop
Magazino da ogio,oil warehouse
Casa in due fitanze,house in two leases
casa e bottega da lasagner,house and lasagner's shop
Casa con Bottega di Curamer,house with curamer's shop
Casa in soler e bottega,house in land and shop
Casa e Bottega da Botter,house and shop from botter
"Inviamento, altra porzione","sending, another portion"
fabrica del tabacco con casa in soler,tobacco factory with house on the upper floor
"casa in due soler, secondo soler","house in two floors, second floor"
Sinagoga Coanin,coanin synagogue
Libertà numero 31,freedom number 31
palazzo con orto e magazeni,palace with garden and warehouses
Magazen ridotto in casetta,warehouse reduced to small house
Tre Magazzeni,three warehouses
casa e due botteghe da marangon,house and two carpenter's shops
"Casa i  due affittanze, soler di sotto","house the two leases, ground floor soler"
per altra portion minor,for another smaller portion
"Casa in 3 appartamenti, secondo","house in 3 apartments, according to"
Casa e bottega da tagier,house and shop to cut
Bottegha da Fenestrer,window shop
Una volta,once
secondo soler,according to soler
"Casa in soler, altra metà","house in soler, other half"
casa e due magazeni,house and two warehouses
Libertà numero 36,freedom number 36
bottega di zavater,shoemaker's shop
casa da affitar,house for rent
camera e mezzardo sopra la bottega,room and half above the shop
Due volte,twice
"Casa, bottegha da zavater","house, shoemaker's shop"
bottega da calegher e casa in due soleri,cobbler's shop and house with two floors
casa in soler e altra porzione,house in soler and other portion
"Casa, e Bottega da Malvasia e Inviamento","house, and malvasia shop and sending"
Botegha Curamer,caretaker's shop
"Casa, e Bottegha da Barbier","house, and barbershop"
Volta numero 4 serve per magazen da carter,vault number 4 is used for the wagon storage
casa a piepan e magazen,house on ground floor and warehouse
Palazzo proprio di Ca' Bollani,bollani's own palace
Altra Metà delle Suddette Casa e Bottega,other half of the aforementioned house and shop
inviamento di detta bottega,sending of said shop
Casa e bottega di casseller,house and shop of the money changer
Casa propria et di habitation,own house and residence
case della Residenza,residence houses
Bottega Sartor,sartor workshop
Casa in soler con horticello,house with small garden plot
Casa con Saonaria,house with saonaria
casa e bottega da orese,house and goldsmith's shop
Casetta a pepian lasciata per carità per esser quasi ruvionosa,small pepian house left out of charity for being almost ruinous
casa e bottega da depentor,house and shop from dependence
Botega,workshop
Casa a pepian vacua,empty pepian house
magazen di malvasia,malvasia warehouse
bottega da caleger,shoemaker's shop
Casette tre e magazenetto,three houses and small warehouse
Casa a pepiano e in soler,house in kind and in lease
Apartamento in soler,apartment in soler
Bottega ridotta in magazin,shop reduced to warehouse
Scola sive Sinagoga Mesalamin,school or synagogue mesalamin
Casa dominical con mezadi di sua raggione e per suo uso,dominical house with mezzadria of its own reason and for its own use
"casa, terzo soler, altra scala","house, third floor, another staircase"
Casa in soler et bottegha,house in land and shop
Maghazen da Mazena,warehouse of mazena
bottega di luganegher,sausage shop
Bottega da luganegher,sausage shop
Casa e bottega da merci,house and goods shop
bottega da malvasia con le sue volte,malvasia shop with its vaults
Portion di casa e magazen da botter,portion of house and warehouse for boats
bottega da segador,reaper's shop
casa con orticello,house with small vegetable garden
Bottega da Acque,water workshop
Scancello,gate
Volta numero 3,turn number 3
Bottega Salumier,charcuterie shop
Casa a papian,house in papian
Posta di Bologna,bologna mail
Casa Voda,voda house
casa in tre affittanze non affittata,house in three leases not rented
Casa e due Botteghe da Calegher,house and two cobbler shops
Pallazzo con giardino per uso,palace with garden for use
Camera,room
casa e bottega da naranzer,house and orange shop
Stazio di Furtarol,furtarol station
Bottega fruttariol,fruit shop
due botteghe unite da legname con tere,two shops united by timber with land
"casa in due soleri, vuota","house on two suns, empty"
casa in soler e bottega da tentor,house on the ground and tentor's shop
bottega serrata,closed shop
Casa e Bottega voda,house and shop lease
"Casa in due soleri, primo","house in two sunlit areas, first"
Soffitta in soler,attic in the loft
Casa in soler e Bottega,house on the ground and shop
casa soler in due affittanze,soler house in two leases
Bottega da Linariol,linariol's workshop
Casa a pepian per commodo della chiesa,house with staircase for the convenience of the church
terreno vicino,nearby land
Bottega indorador,gilding workshop
fabrica de balini,glass bead factory
Casa in due soleretti,house in two small plots
Altra casa in soler con orticello,another house with sun terrace and small garden
bottega serrata tenuta da magazen,closed shop held by warehouse
bottega con volta per sazo da tentor,shop with a vault for dyer's use
inviamento di bottega,sending of shop
"Botegha da Malvasia, e Casa sopra detta Botega","malvasia shop, and house above said shop"
"bottega da malvasia e inviamento, casa in soler","malvasia shop and shipment, house in soler"
"casa rovinosa, non si sa il patron","ruined house, the owner is unknown"
Casa a pepian,house in pepian
Volte numero 9 chiuse entro un restello,vault number 9 closed within a haystack
Casa che comprende Bottega da Strazzarol,house that includes a haberdasher's shop
inviamento del detto forno,sending of said oven
bottega orefice,goldsmith's shop
Casa e bottega da fenestrer,house and window shop
altra casetta,another small house
casa n.8 e 26,house no.8 and 26
Detta Casa soler di sotto,this lower solar house
bottega da frutariol con corte,fruit shop with courtyard
Casa domenicale,sunday house
Casa n.6,house no.6
Appartamento di casa di sotto,basement apartment of the house
7 case diroccate,7 dilapidated houses
Casa e Bottega de Tentor,house and tentor's shop
Volta numero 1 numero 2,turn number 1 number 2
Volte numero 2,times number 2
Inviamento di Fruttarol,sending of fruttarol
"Bottega di Oglio, e casa in soler","oglio's workshop, and house in soler"
Bottega d'erbarol con inviamento,herbalist's shop with forwarding
casa in solaro con sotto bottega da caseler e due magazeni,house on a sunny plot with a shop underneath for the tenant farmer and two warehouses
cas vuota,empty house
Magazzeni in Dogana per mercanzie numero 2,warehouses in customs for merchandise number 2
Botega da Galiner con inviamento,henhouse with sending
mazzà,bundle of land
Inviamento del suddetto Pistor,sending of the aforementioned pistor
bottega di casseler,casseler's shop
"Casa e bottega di Fabro, altra porzione","house and shop of fabro, other portion"
Appartamento primo soler,first floor apartment
Casa e Bottega da Intagliador,house and carver's workshop
magazenetto,small warehouse
Botegha da Carter,charter office
Camere tre,three rooms
Volte numero 4,times number 4
bottega e mezzado,shop and half-share
casa di residenza del secondo prete,residence of the second priest
luogo a pepian,place on lease
"casa in due soleri, primo con bottega di carter","house on two floors, first with stationery shop"
bottega dal lotto,shop from the lot
forno,oven
Portion di detto magazen,portion of said warehouse
9 magazzeni,9 warehouses
cucina,kitchen
altro appartamento della casa compresa bottega di batioro e del stramazer,another apartment of the house including gold leaf workshop and of the fancy goods dealer
Botega da Botiro,botiro's shop
Casa con Bottega di Barbier,house with barber shop
scancello,gate
casa in più soleri ed altra casetta,house in more soleri and another small house
Casa con Bottega di calegher,house with cobbler's shop
casa in solaro e altra a pepian,house in solaro and another in pepian
"Casa,bottega e una volta","house, shop and once"
"Magazen e teren da tavole, camerin e casetta","warehouses and land for tables, small rooms and small houses"
Botegha pepian da Felzer di Gondole,felzer gondola workshop of pepian
altra porzione di casa e magazen,other portion of house and warehouse
Bottega con inviamento da frutarol,shop with fruit seller assignment
osteria della cerva,tavern of the deer
casa e bottega da intagliador,house and carver's shop
Bottega con casa da special,workshop with dedicated house
"casa in cinque appartamenti, secondo","house in five apartments, according to"
Casa e Bottega da Oglio,house and shop from oglio
bottega da oglio e casa in un soler,olive oil shop and house in one loft
In detta casa soler di sotto,in said house usually below
case numero due della Parrochia di San Aponal,house number two of the parish of san aponal
Botegha d'orese sua propria e per suo uso,workshop of his own and for his own use
Altro apartamento vuoto,another empty apartment
Libertà numero 13,freedom number 13
Bottega da Bonbaser,bonbaser's workshop
casa e pistoria e 3 inviamenti,house and bakery and 3 shipments
bottega e inviamento,workshop and shipment
"casa in due soleri, primo soler","house in two sunspaces, first sunspace"
cereria,chandlery
Casa Appalto da Tabaco,tobacco lease house
Casa ora vuota,house now empty
bottega di nodaro,knot maker's shop
mezzà,half
Bottega da Tacchi,cobbler's shop
"Casa, secondo soler n.5","house, according to custom n.5"
casa con bottega da varoter in calle longa,house with shop for renter in long street
"Casa in soler in due apartamenti, primo","house on the ground floor in two apartments, first"
Casa con bottega di lavazer,house with laundry shop
"Casa, et Bottega in fabrica","house, and shop in construction"
Caneva del Bastion con un stabile sopra più un Canevin,bastion's vineyard with a building on top plus a small vineyard
Altro Appartamento di Casa retroscritta,other apartment of the house re-registered
casa e bottega di Carti,carti's house and shop
casa e bottega da tagliapietra,house and stonecutter's workshop
Bottega di stramazzer et casa in soler,workshop of stramazzer and house in soler
"Casa, altra porzione del secondo appartamento","house, other portion of the second apartment"
"Bottega, e Casa","workshop, and house"
inviamento di pistor,sending of miller
appartamento della detta casa,apartment of the said house
palazzo di propria abitazione,palace of own dwelling
bastion detto rosina con fruttarola,bastion called rosina with orchard
"Inviamento, per carati 6","sending, for 6 carats"
Casa pepian,pepian house
casa con corte rovinosa,house with ruinous courtyard
"Casa, e Bottegha da Casseller","house, and shop from casseller"
"Casa e magazzen, porzione","house and warehouse, portion"
Botega da Cordarol,rope maker's shop
casa e bottega da casseller,house and shop for cashier
Altro apartamento della detta Casa,another apartment of the said house
Due case e due botteghe,two houses and two shops
Casa altra metà,other half of the house
casa soler secondo appartamento,soler house second apartment
Bottega di linarol,linarol workshop
portione casa,portion of house
case rovinose,ruinous houses
bottega da erbarol,herbalist's shop
Magazen per uso della Chiesa del Corpus Domini,warehouse for use of the church of corpus domini
"casa in tre soleri, secondo soler","house in three solariums, second solarium"
Casa e bottega da testor,house and shop for tester
bottega da remessi e casa in due appartamenti,workshop for remissions and house in two apartments
caselli,toll booths
casa e bottega da spezier,house and spice shop
Fondo di forno,oven fund
altro magazen,another warehouse
"casa bottega portata avanti, ora vuota","house shop carried forward, now empty"
Portion di casa e bottega,portion of house and shop
casa e magazen,house and warehouse
"Casa in due porzioni, di sotto","house in two portions, below"
Un magazinetto,a small warehouse
bottega da fruttariol e inviamento,fruit shop and shipment
"Casa in due solleri, soller di sotto","house in two attics, lower attic"
"Casa in 2 soleri, secondo soler","house in 2 plots, according to the second plot"
Casa e Saonaria,house and soap factory
palazzo di proprio uso,palace for personal use
botteghe tre,three shops
"Casa in due porzioni, di sopra","house in two portions, above"
Un magazenetto,a small warehouse
Ospital di Treviso,hospital of treviso
una stanza interna alla bottega,an inner room in the shop
Case date per gracia et affittate dalle persone graciate all'infrascritti affittuali,houses given for grace and rented by the graced people to the undersigned renters
bottega da fenestrer e casa in soler,window shop and house on the upper floor
"Casa, quarto soler","house, fourth floor"
"Casa, e Bottegha da Tentor","house, and tentor's shop"
granari n. 2,granaries no. 2
bottega di noghera,noghera's workshop
Porzion d'inviamento di malvasia con botega,portion of dispatch of malvasia with shop
Casa senza botega,house without shop
Bottega da Frutarol,fruit shop
botteghe due in una,two shops in one
magazeni 3,warehouses 3
posta di Bergamo,bergamo mail
Casetta vuota,empty cottage
Bottega Naranzer,orange workshop
Bottega da Biavarol,biavarol's workshop
altra parte della casa e della bottega,other part of the house and shop
Casotto di sartor,tailor's hut
"Casa, et Bottega in Soler","house, and shop in soler"
"Casa, bottega e inviamento da pistor","house, shop and sending to the baker"
Casa e bottega da chiodi,house and nail shop
Casa in due fittanze,house in two leases
"Casa in due affittanza, soler di sotto","house in two rents, ground floor solar"
Libertà 6,freedom 6
Botteghin da Lotto,small shop by lottery
casetta di detto forno,little house of said oven
bottega da marzer,shop of the salt merchant
Bottega di Favero con casa,favero's workshop with house
casetta con camerino,small house with dressing room
Casa e Bottega Zavatter,house and zavatter shop
Casa primo appartamento con magazen,first house apartment with warehouse
Casa con Bottega di formaggier,house with cheesemaker's shop
Altra Porzion della Suddetta Bottega,other portion of the aforementioned shop
Inviamento d'Aqua di Vita Vuoto,sending of empty water of life
Casa Consorti,consorti house
Casa e Bottega da Perucchier,house and barber shop
Casa in 3 soleri e Bottega da Fruttariol,house in 3 plots and fruit seller's shop
bottega fruttarol,fruit shop
casa e bottega biavariol erbarol,house and shop biavariol herbalist
Bottega Casarol Inafitatta,casarol workshop unfit
Casa a pepian con horto,house with vegetable garden
casa n. 2,house no. 2
casin che confina con l'orto e palazzo,cottage that borders the garden and palace
Bottega di Careghetta,careghetta's workshop
casaetta a pepian,small house in pepian
casa e bottega da special da medicine e inviamento,house and shop for special medicine and shipment
ospedaletto di casette sette,little hospital of seven houses
bottega da marzer con un mezado continuo,shop for a marzer with a continuous half
"casa in due soleri e 2 magazeni, secondo soler","house in two sunlit areas and 2 warehouses, second sunlit area"
Secondo affitto di Casa,second lease of house
casa e bottega da intagiador,house and intarsia craftsman's shop
bottega da linariol,linseed oil shop
"cusina, nella soffitta","kitchen, in the attic"
Casa in soler suddetta,house on said ground
Chiesa e Monasterio,church and monastery
Casa e Bottega da Fruttarol e Magazen,house and shop of fruit vendor and warehouse
casotto di tavole da erbariol,hut of boards for herbalist
Botega da Specier da confetti,confetti spice shop
Ospital della scola di San Giovanni Evangelista,hospital of the school of saint john the evangelist
Casa con bottega,house with shop
"Casa in due apartamenti, uno","house in two apartments, one"
Altri Caratti 3 e 11 vigesimi del Sudetto Inviamento dà Pistor,other features 3 and 11 twentieths of the above mentioned sending gives miller
Bottega Con Volta Inafitatta,shop with unfit vault
Bottega da tabacco,tobacco shop
casa e bottega da pistor,house and baker's shop
Botega da Biavariol,biavariol's shop
bottega da curamer,leather tanner's shop
magazeni n.2,warehouse no.2
Magazen per suo uso,warehouse for his use
In detta casa soler di sotto et a pepian con orto,in said house usually downstairs and with a vegetable garden
Simile apartamento della stessa Casa,similar apartment of the same house
casa n. 24 e 25,house no. 24 and 25
Due Appartamenti,two apartments
Casa in solari numero 4,house in plots number 4
casa sive magazen,house or warehouse
Casa con un'altra casa vuota,house with another empty house
"Ospicio di sei stanzie, numero 1","hospice of six rooms, number 1"
Casa bottega speciale medicine,special medicine shop house
Quattro libertà di traghetto inaffittate,four unfrented ferry freedoms
Casa con bottega di marangon,house with carpenter's shop
Inviamento del detto frutarol,sending of said fruiterer
posto di beccaria,butchery place
Bottegha,shop
Casa e Bothegha Tentor,house and tentor shop
Porzion d'inviamento di malvasia con bottega,portion of dispatch of malvasia with shop
Casa in soler Dominicale,house in sunday soil
bottega o casotto,shop or hut
bottega di schioppeter,gunsmith's shop
casetta di due stanze,two-room cottage
Botega da Carter che corisponde col Scancello da Sicurtà di Andrea Bonifaci,shop of carter that corresponds with the safety gate of andrea bonifaci
Bottega d'Aqua Vitta,water of life workshop
Zucchereria,sugar factory
Bottega da Special,special workshop
statio da erbariol,herb garden station
Una casetta a pepian era bottaga di tagliapietra,a small house in pepian was a stonemason's workshop
"Casa, e Botteghe due","house, and two shops"
casa in due affittanze,house in two leases
Casa e Bottega da Spicier di Medicine con Inviamento,house and shop of spice and medicine trader with forwarding
"Casa in deu affittanze, soler di sopra","house in two leases, upper floor"
Casa e Botegha da Galliner,house and shop of the chicken farmer
casa sotto le due precendeti,house under the two previous ones
Bottega che era posto di latto era vuota,the shop that was on the side was empty
Casa e Battega da Callegher,house and shop from callegher
Beranrdo Ventura,beranrdo ventura
casa in più soleri con magazen,house with multiple floors and warehouse
"Palazzo olim habitato da Francesco Chiesa, pra acquistato dal Pio Luogo della Pietà et habitano li figli di detto luogo","the palace was once inhabited by francesco chiesa, then bought by pio luogo della pietà and now the children of said place live there"
Portione della suddetta Casa,portion of the aforementioned house
Magazen vuoto,empty warehouse
Casa in due portioni,house in two portions
due case con magazen e orto,two houses with storage and garden
"Casa in più porzioni seu affittazioni, porzione prima","house in multiple portions or leases, first portion"
"Tre camere date per carità a Zuanne Fabris, due delle quali sono habitate dallo stesso Zuanne Fabris","three rooms given out of charity to zuanne fabris, two of which are inhabited by the same zuanne fabris"
Casa con corte,house with courtyard
"Casa, primo appartamento e bottega di Malvasia con inviamento di bottega","house, first apartment and malvasia shop with shop forwarding"
Terren da Tavole,land from tables
"Casa, et Bottega da Calegher","house, and shoemaker's shop"
In detta Casa,in said house
Casa e Bottegha Favro,favro house and shop
bottega da fabro e casa,blacksmith's shop and house
casa propria in due soleri,own house on two sundials
Posto da medicine,place of medicine
"casa in tre appartamenti, secondo","house in three apartments, according to"
Camera numero 5 e due casette,room number 5 and two small houses
casetta con un soler,small house with a loft
Casa 2 appartamenti,house 2 apartments
"Casa, iten caratti numero 8 della casetta apepian segnata numero 3, item carati numero 16 della casetta numero 3","house, also characteristics number 8 of the little house marked number 3, also characteristics number 16 of the little house number 3"
volte due,times two
"casa n. 17, 18, 19, 22","house no. 17, 18, 19, 22"
"Casa, meza","house, table"
"Casa, et Bottega da Fabro","house, and blacksmith's shop"
Casa con bottega da cerer con inviamento,house with wax shop included
Casa e bottegha da barbier,house and barber shop
bottega da intagiador,carpenter's shop
Casa in 6 affittanze,house in 6 leases
Bottegha da Barbier,barber's shop
casa a due pepian,two pepian house
casetta e un maganze,small house and a warehouse
Casa Locanda Nova Consorti,new consorti inn house
Casa in soler domenicale per proprio uso,house on sunday ground for personal use
Apartamenti di sopra del detto Palazzo,apartments above the said palace
Magazen da Spartioro,warehouse for splitting
Casa e Bottegha,house and shop
"Casa propria, et di habitatione","own house, and of habitation"
posto da calcetta,place for calico
Casa in soler con bottega et orto,"house with loft, shop and garden"
bottega da librer,bookstore
Casa e botega da Peruchier,house and workshop of Peruchier
"casa, quarto soler","house, fourth ground"
Volta Ritrovata Chiusa,found closed vault
magazen piccolo,small warehouse
Casa concessa gratis vita durante,house granted for free during life
Case quattro in soler,four houses on the ground floor
Magazen in soler,warehouse in attic
casa in soler rovinosa,ruinous house on ground rent
Casa con altra Caseta,house with another small house
Casa in tre soleri,house in three solariums
case n. 3,house no. 3
Casa e Bottegha da battiargento,house and silver beating shop
Casa e bottegha da fruttarol,house and fruit seller's shop
"casa e due botteghe, una da barbier e l'altra da sartor","house and two shops, one for a barber and the other for a tailor"
Bottega di sotto,lower workshop
bottega da carta,paper shop
"casa, quinto soler soffitte, vuota","house, fifth floor attic, empty"
bottega da lotto con mezà contiguo,lottery shop with adjacent half
"Casa, per l'altra metà","house, for the other half"
"Casa, apartamento di mezo","house, middle apartment"
casa grande e altra casa con magazeni,large house and another house with warehouses
"casa in tre appartamenti, terzo","house in three apartments, third"
Stabile sopra Canal Grande,building above the grand canal
metà di casa e metà di inviamento di forner,half of house and half of forner's sending
case gratis,free houses
posto di beccaria concesso al partitante di animali,place of beccaria granted to the partitioner of animals
Casa con Orticello,house with small vegetable garden
bottega da galiner,chicken coop shop
Bottega d'affittar,rental shop
Casa e Botegha da Calegher,house and shoemaker's shop
Due Boteghe unite da chiodi,two shops joined by nails
"Casa, e Bottegha da Malvasia","house, and malvasia wine shop"
portione di casa e bottega,portion of house and shop
Porzion di Appartamento,portion of apartment
Bottega Spartioro,spartioro workshop
Casa in soler primo,house on the first floor
Libertà 8,freedom 8
bottega di tiraferro,ironmonger's shop
casa per uso dell'accademia de nobili Aruconici,house for the use of the academy of noble aruconics
"Casa, con due Botteghe in 2 affittanze","house, with two shops in 2 rents"
orto,garden
"Casa in 3 soleri, soler di sopra","house in 3 soleri, upper soler"
Casetta a pepiano,pepiano small house
Casa per carità,house for charity
Bottega Chiusa e Vuota,closed and empty shop
soler di sopra in detta casa,upper floor of said house
Case numero cinque e botteghe numero 7,houses number five and shops number 7
"casa in tre soleri e magazen, secondo","house in three soleri and warehouse, according to"
Altra Casetta,another little house
bottega da specier de confetture e casa in soler,confectionery shop and house in the attic
casa e bottega di scoletta,house and workshop of scoletta
teatro,theatre
Casa in soler e bottega da casseler,house on the ground and locksmith's shop
posto da beccher,place of the butcher
casa e bottega di fabro,house and blacksmith's shop
bottega di menarosti e casa,menarosti's workshop and house
Casa e pepian,house and pumpkin
bottega e casa a pepian,shop and house in pepian
"casa d'affittar, non vogliono dichiarar","house for rent, they don't want to declare"
Ius di vender il pan al Bastion della Pietà,right to sell bread at the bastion of piety
casa voda,water house
porzione di casa affittata,portion of house rented
peota,poet
casa e bottega del masteller,house and workshop of the masteller
Bottega da Borchetta,borchetta's shop
bottega da Biavarol,biavarol's shop
magazen serato,closed warehouse
Inviamento d'aqua vita vuoto,sending of empty life water
"casa, forno e inviamento","house, oven and sending"
Casa al numero 6,house at number 6
bottega da frutariol ed erbariol,fruit and herb shop
magazzino,warehouse
due magazeni d'olio,two oil warehouses
Casa con Tentoria,house with tentoria
Bottega compresa nella casa d'abitazione del Nobil Homo Ser Marc'Antonio Mocenigo,workshop included in the dwelling house of the noble man ser marc'antonio mocenigo
"casa, squero, magazeni 2 et una tera","house, boatyard, 2 warehouses and a land"
Volta numero 5 Chiusa,turn number 5 closed
Bottega da galiner,henhouse shop
"Casa, porzione di secondo appartamento","house, portion of second apartment"
inviamento da zavater,sending from zavater
casa in soler con orto e tentoria,"house with solar, garden and tentoria"
casa rovinosa,ruined house
Forno et inviamento,oven and shipment
Casa e Ceraria con Magazeni,house and waxworks with warehouses
Pallazzo per uso,palace for use
bottega di curamer,leather tanner's shop
case due,two houses
teren da tavole vuoto,empty plot of land
Casa con Giardino per suo uso,house with garden for its use
Casa in soler ruvinosa,ruinous house in soler
Bottega e Magazen,workshop and warehouse
bottega scaletter,staircase workshop
Casa soler si sotto,the house is below the sun
casa annessa,annexed house
Casa sopra Canal Grande,house over grand canal
bottega da frutariol e inviamento,fruit shop and sending
"Altra Porzione delle Sudette Casa, Volta e Bottega","other portion of the above mentioned house, vault and shop"
Casa con tentoria,house with tent
Metà d'una casa,half of a house
Magasen,warehouses
casa e magazen di malvasia,house and malvasia warehouse
"Case Tre, e Bottega","house three, and shop"
detta casa e 2 botteghe,this house and 2 shops
Casa e Bottegha da marcer,house and shop to rent
