origin,translation
IL 3° PRETE CASA DAL TITOLO,the 3rd priest house from the title
CHIESA DI SAN BENETO,church of san beneto
LUCCHESI,lucchese
BASILICA DI SANTA MARIA GLORIOSA DEI FRARI,basilica of santa maria gloriosa dei frari
NOBIL DOMINA MAGNA,noble great lady
NOBIL HOMO MORTO,noble man dead
PASSINELLE DI CASTELLO,castle's passinelles
SCUOLA DELLA MADONNA DELL'ANCONETTA,school of the madonna of anconetta
MEDICO MASCOLO SAN VIO,mascolo medical san vio
CLERO DI VENEZIA,clergy of venice
REVERENDO SIGNOR PIEVANO PRO TEMPORE,reverend sir parish priest pro tempore
REVERENDO PRIMO PRETE PRO TEMPORE,reverend first priest pro tempore
REVERENDO SECONDO PRETE PRO TEMPORE,reverend second priest pro tempore
CONVICINATO DI SAN MARCILIANO,neighborhood of san marciliano
CHIESA DI SAN FRANCESCO DI PAOLA,church of san francesco di paola
PRENCIPE,prince
MILIZIA DA MAR,sea militia
DELLA SANITA,of health
PRIMO PRETE E DIACONO,first priest and deacon
MONASTERO DI SANTA LUCIA,monastery of santa lucia
CHIESA DI SAN ROCCO,church of san rocco
CITELLE PER COMMISSARIA DOGARESSA QUERINI VALIER,cisterns for commissioner dogaressa querini valier
PIA CASA DELLE ZITELLE,pious house of the maidens
MONASTERO DI SANTA MARIA DEI MIRACOLI,monastery of santa maria dei miracoli
CHIESA DI SANTA SOFIA,church of santa sofia
MONASTERO DI SANT'ANDREA DELLA CERTOSA,monastery of st. andrew of the certosa
ARTE DEI DEPENTORI,guild of public debtors
PROCURATIA DI COMUN,procurator of the common
CHIESA DI SAN NICOLO DEI MENDICOLI,church of san nicolo dei mendicoli
MONASTERO DEI SANTI ROCCO E MARGHERITA,monastery of saints rocco and margherita
CHIESA DI OGNISSANTI,church of all saints
CHIESA DI SANTA MARIA ASSUNTA DEI GESUITI,church of saint mary of the assumption of the jesuits
SARTORI,tailors
GIVERNATORI DELL'OSPEDALETTO DI SAN GIOVANNI E PAULO,governors of the ospedaletto of san giovanni and paulo
MONASTERO DEGLI ANGELI (di Murano),monastery of the angels (of murano)
CHIESA DI SAN MAURIZIO,church of san maurizio
CHIESA DI SAN MARTINO,church of san martino
FABRICA,factory
PROVVEDITORI DI COMUN,providers of commons
CHIESA DI SAN SALVADOR,church of san salvador
CHIESA DI SAN BIASIO,church of san biasio
ARSENALE,arsenal
CONSIGLIO DEI DIECI,council of ten
DIACONO DI S. GIOVANNI NOVO,deacon of s. giovanni novo
CHIESA DI SANTA MARIA DELL'UMILTA,church of santa maria of humility
LUOGHI PII DI PADOVA,pious places of padua
PIEVE DI SAN GIOVANNI NOVO,parish of san giovanni novo
ABBAZIA DEI SANTI FILIPPO E GIACOMO,abbey of saints philip and james
SCUOLA GRANDE DELLA BEATA VERGINE DEL SANTISSIMO ROSARIO,grand school of the blessed virgin of the most holy rosary
ECCELLENTE MAGISTRATO DEL SANT'OFFICIO,excellent magistrate of the holy office
SIGNORI DELLA NOTTE,lords of the night
CHIESA DI SANTO STEFANO,church of santo stefano
OSPEDALE DI SAN LAZZARO DEI MENDICANTI,hospital of saint lazarus of the beggars
MONASTERO DEL SANTO SEPOLCRO,monastery of the holy sepulchre
SCOLA DI SAN TODERO,school of san todaro
SAN ROCCO,san rocco
PIOVAN,landlord
SECONDO PRETE,second priest
SUDDIACONO,subdeacon
DIACONO,deacon
MAGISTRATO ECCELLENTISSIMO DELLE DECIME DEL CLERO,most excellent magistrate of the tithes of the clergy
MAGISTRATO ECCELLENTISSIMO DELLA DECIME DEL CLERO,most excellent magistrate of the tithes of the clergy
OSPEDALE DELLA CA DI DIO,hospital of the house of god
PROVVEDITORI ALLE BIAVE,superintendents to the keys
CHIESA DI SAN DOMENICO,church of san domenico
OSPEDALE DI SAN GIOVANNI BATTISTA,hospital of saint john the baptist
CONGREGAZIONE DI SANTA MARIA MATER DOMINI,congregation of saint mary mother of the lord
DI RAGIONE PATRIARCALE,of patriarchal reason
MONASTERO DI SANT'ANNA (di Castello),monastery of saint anne (of castello)
DI RAGIONE PATRIARCHALE,of patriarchal reason
CAPITOLO DI SAN SIMEON PICCOLO,chapter of san simeon piccolo
CASA CANONICAL,canonical house
CASA CANONICALE,canonical house
CASA PATRIARCHALE,patriarchal house
REVERENDISSIMO ARCHIDIACHONO,most reverend archdeacon
REVERENDISSIMO ARCHIDIACONO,most reverend archdeacon
SCUOLA DEL SANTISSIMO SACRAMENTO (di Castello),school of the most holy sacrament (of castello)
PATRIARCHATO,patriarchate
MONASTERO DI SANTA MARIA DELLE VERGINI,monastery of saint mary of the virgins
CHIESA DI SAN DANIELE,church of san daniele
OSPITAL,hospital
MONASTERO DI SANTA GIUSTINA,monastery of saint giustina
CHIESA DI SANT'ANTONIO (di Castello),church of saint anthony (of castello)
ABBAZIA DI SAN GREGORIO,abbey of san gregorio
CONGREGAZIONE DEI SACERDOTI DI SAN SILVESTRO,congregation of the priests of saint sylvester
MONACHE DELLA VALVERDE,nuns of the green valley
PROCURATORI BECCHERIE,procurators of butchery
ABBAZIA DI SAN GALLO,abbey of st. gall
TERZARIE,terziaries
FRUTTAROLI,fruit growers
SUFFRAGIO DELLA CHIESA DI SANTA CROCE (di Castello),suffrage of the church of santa croce (of castello)
SUFFRAGIO DELLA CHIESA DELLA SANTISSIMA TRINITA,voting of the church of the holy trinity
DEL COMIN DELLA ZUECHA,of the comin of the zuecha
CHIESA DI SAN SAMUEL,church of san samuel
CANONICI SUDDETTI,aforementioned canons
CHIESA DI SAN GIUSEPPE (di Castello),church of san giuseppe (of castello)
FRATERNA,brotherhood
NOBILI PATRIZI,noble patricians
CHIESA DI SANTA MARIA DELLA CELESTIA,church of santa maria della celestia
SCUOLA DEGLI SCHIAVONI,school of the slavs
ILLUSTRISSIME GENTILDONNE DI SAN ZACCARIA,most illustrious ladies of san zaccaria
CHIESA DI SAN CRISTOFORO (di Murano),church of san cristoforo (of murano)
MONASTERO DI SAN LORENZO,monastery of san lorenzo
BASILICA DI SAN GIORGIO MAGGIORE,basilica of st. george major
SCOLA,school
SACRA RELIGIONE DI MALTA,sacred religion of malta
PADRI DI SAN FRANCESCO ALLA VIGNA,fathers of san francesco alla vigna
CHIESA DEI SANTI FRANCESCO E GIUSTINA,church of saints francesco and giustina
PIO LUOGO DEI DERELITTI,pious place of the derelicts
BASILICA DEI SANTI GIOVANNI E PAOLO,basilica of saints john and paul
EVANGELISTA CAPOFERRO,evangelista capoferro
CHIESA DI SANTA MARIA FORMOSA,church of santa maria formosa
CHIESA DI SANTA MARINA,church of santa marina
ABATE PIAZZA LONGA,abbot long square
ABBATE PIAZZA LONGA,abbot long square
SCUOLA DI SANTA BARNABA,school of saint barnabas
CHIESA DI SAN SILVESTRO,church of san silvestro
CHIESA DELL'ANGELO RAFFAELE,church of the angel raphael
CHIESA DI SAN SEBASTIANO,church of san sebastian
SANTA MARIA DEI CARMINI,santa maria dei carmini
CAPITOLO DI SAN BASILIO,chapter of san basilio
MONASTERO DI SANTA MARTA,monastery of santa marta
PISANI DEL BANCO,pisani del banco
CHIESA DI SANTA MARIA DELLE PENITENTI,church of santa maria delle penitenti
MONASTERO DI SANTA CROCE (alla Zuecca),monastery of santa croce (at the zuecca)
CITELLE,citelle
PROCURATIA D'ULTRA,procuratorate from beyond
MONASTERO DI SANTI GIUSEPPE E BONAVENTURA,monastery of saints giuseppe and bonaventura
CHIESA DI SANT'AGNESE,church of sant'agnese
CHIESA DI SAN BARNABA,church of san barnaba
RESIDENZA DEL PIEVANO,pieve's residence
RESIDENZA DI PRIMO TITOLATO,first titled residence
SCOLA SANTA MARIA,holy mary school
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Gregorio),school of the most holy sacrament (of san gregorio)
CONGREGAZIONE DEL CLERO DI SAN POLO DI VENEZIA,congregation of the clergy of san polo in venice
PIA CASA DEI CATECUMENI,pious house of catechumens
CHIESA DI SAN GEMINIANO,church of san geminiano
MONASTERO DELLO SPIRITO SANTO,monastery of the holy spirit
OSPEDALE DEGLI INVISIBILI,hospital of the invisible
PROVVEDITORI AL SAL,providers to the salt
REVERENDISSIME MONACHE DOMINE MARIA VITTORIA,most reverend nun madam maria vittoria
MAGISTRATI DELLA GRASSA,magistrates of the grassa
BASILICA DI SANTA MARIA DELLA SALUTE,basilica of saint mary of health
ORATORIO INTITOLATO LA SCUOLA MAGGIORE,oratory entitled the major school
CHIESA DEI CATECUMENI,church of the catechumens
SCUOLA INTITOLATA SANTA MARIA DEI BURCHIERI,school named santa maria dei burchieri
SCUOLA INTITOLATA DI SAN GREGORIO,school named after saint gregory
CHIESA DELLO SPIRITO SANTO,church of the holy spirit
CHIESA DEGLI INCURABILI,church of the incurables
MAGISTRATO ECCELLENTISSIMO DELLA SANITA,most excellent magistrate of health
DOGANA DA MAR,sea customs
SCUOLA DI SAN NICOLO,school of san nicolo
MONASTERO DI SAN GIACOMO (alla Zuecca),monastery of san giacomo (at the zuecca)
ORSOLINE,ursulines
CHIESA DI SAN BARTOLOMEO,church of san bartolomeo
CAPITOLO DELLA CHIESA DI SAN NICOLO,chapter of the church of san nicolo
CHIESA DI SAN NICOLO DEL LIDO,church of san nicolo del lido
MONASTERO DI SANTA TERESA,monastery of santa teresa
SCUOLA DEL CROCIFISSO (in Santa Teresa),school of the crucifix (in santa teresa)
LE PIZZOCCARE DEL CARMINE,the pizzoccare of carmine
CHIESA DI SAN PANTALON,church of san pantalon
MONASTERO DI SANTA CHIARA,monastery of santa chiara
REVERENDISSIMO CANONICO CORTA DA ESTE,most reverend canon court of este
PIOVAN DI CONTRADA,piovan of contrada
SIGNOR DA UDINE,lord from udine
OSPEDALE DEI SANTI GIOVANNI E PAOLO,hospital of saints john and paul
REVERENDE MONACHE TISANA,reverend nuns tisana
CHIESA DI SAN TROVASO,church of san trovaso
REVERENDI PADRI DELLA CARITA,reverend fathers of charity
COMPRAVENDI,buy and sell
CHIESA DI SANTA MARGHERITA,church of santa margherita
BASILICA DI SAN MARCO,st. mark's basilica
CHIESA DI SAN VIO,church of san vio
CAPITOLO DI SAN PAOLO APOSTOLO,chapter of saint paul the apostle
OFFICIALI ALLE RASON VECCHIE,officials to the old reasons
CHIESA DELLA MADONNA DELL'ORTO,church of madonna dell'orto
ARTE DEI VAROTERI,guild of furriers
FRATERNA DEI POVERI DI SANTA MARGHERITA,brotherhood of the poor of santa margherita
SPALATO (Croazia),split (croatia)
UNIVERSITA,university
CONSORZIO DELLE SORELLE GENTILI DA PADOVA,consortium of the gentile sisters from padova
FRATERNA DE TAMULTERI TEDESCHI,brotherhood of german tamulteri
FRATERNA DELLA MISERICORDIA DE TODESCHI,brotherhood of mercy of todeschi
SCOLA GRANDE SIVE SINAGOGA DE TODESCHI,large school or synagogue of the Germans
SCOLA GRANDE TODESCA,grand german school
SCUOLA GRANDE TODESCA,great german school
SI CREDE DEL CONSORZIO MUGGIA,it is believed of the muggia consortium
FRATERNA DELLA MISERICORDIA,brotherhood of mercy
BANCO VERDE,green bank
BANDA DELLE SETTE CASE,band of the seven houses
FRATERNA TUMALTERA DEI TODESCHI,fraterna tumaltera of the todeschi
NAZION PONENTINA,western nation
NATION LEVANTINA VIANDANTE,levantine wandering nation
NAZION LEVANTINA VIANDANTE,levantine nation traveler
GIUDITA DI CASE,judgment of houses
SCOLA PONENTINA,western school
SCOLA DELLA NAZION PONENTINA,school of the western nation
SCOLA LEVANTINA,levantine school
EBREI LEVANTINI VIANDANTI,levantine wandering jews
NAZION LEVANTINA,levantine nation
STRAZARIA DE EBREI TODESCHI,german jews' wood warehouse
FRATERNA DELLA MISERICORDIA DEGLI EBREI TEDESCHI,brotherhood of mercy of the german jews
LEVANTINI VIANDANTI,levantine wanderers
SOCIETA LEVANTINA VIANDANTI,levantine wandering society
VIANDANTI LEVANTINI,levantine wanderers
NAZIONE LEVANTINA,levantine nation
PIEVANO DI RESIDENZA,resident parish priest
TERZO PRETE,third priest
RESIDENZA DIACONO,deacon's residence
CAPITOLO DI SAN CASSIANO,chapter of san cassiano
FRATELLI DELLA COMPAGNIA DI GESU,brothers of the company of jesus
SCOLA AQUILINA,aquilina school
SCOLA AQUILIANA,aquiliana school
SAGOMADORI DA OGIO E MIEL,shoemakers from ogio and honey
VENERANDE DISMESSE DI MURANO,venerable dismissed of murano
PIEVAN,parish
CALEGHERI,shoemakers
ORSOLINE DI STA MALTA,ursulines of st. malta
SCUOLA GRANDE DI SAN TEODORO,great school of san teodoro
PIZZOCARE DI SAN GIROLAMO,pizzocare of saint jerome
CHIESA DI SAN GIACOMO DALL'ORIO,church of san giacomo dall'orio
TITOLO PRESBITERALE,presbyteral title
CHIESA DI SAN ZAN DEGOLA,church of san zan degola
DIACONO TITOLATO SOTTO LA CASA DELLA SUA RESIDENZA,deacon entitled under the house of his residence
RESIDENZA DEL DIACONO TITOLATO,residence of the titled deacon
DIACONO TITOLATO,titled deacon
RESIDENZA DELLA PIEVE,residence of the parish
PROCURATIA SIGNORIA,procuratorship lordship
TESSERI DA PANNI,cloth vouchers
REVERENDO SIGNOR PIEVANO,reverend sir parish priest
RESIDENZA DEL PRIMO PRETE,residence of the first priest
RESIDENZA DEL SECONDO PRETE,residence of the second priest
SCUOLA DEL SOVVENGO DI SANT'ERMOLAO,school of the subsidy of sant'ermolao
CASA DEL REVERENDISSIMO CAPITOLO,house of the most reverend chapter
REVERENDISSIMO SIGNOR PIEVANO,most reverend parish priest
CAPITOLO DI SANTA FOSCA,chapter of saint fosca
MOLINA SAN GIACOMO DI MURAN,molina st. james of muran
VAROTERI,leaseholders
CAPITOLO DELLA CHIESA,chapter of the church
DIACONO TITOLATO DI CHIESA,deacon titled of church
CLERO,clergy
CHIESA DI SAN GIOVANNI BATTISTA DECOLLATO,church of saint john the baptist beheaded
FABBRICA DI CHIESA,church factory
SUDDIACONO TITOLATO,titled subdeacon
CIMADORI,landlords
ARTE DEI CIMADORI,guild of the dyers
SANITA,health
PROVVEDITORI SOPRA OSPEDALI E LUOGHI PII E AL RISCATTO DEGLI SCHIAVI,providers over hospitals and pious places and for the redemption of slaves
REVERENDISSIME MONACHE DEL GIESUMARIA,most reverend nuns of giesumaria
PROVVEDITORI,supervisors
CAPITOLO DI SAN LUCA,chapter of saint luke
REVERENDO PRE BAMBARLE TEATINO,reverend father bambarle teatino
CHIESA DI SANTA MARIA ZOBENIGO,church of santa maria zobenigo
MAGNIFICA CAMERA DEL PURGO,magnificent chamber of purgatory
CAMERA DEL PURGO,chamber of the purge
LA MAGNIFICA CAMERA DEL PURGO,the magnificent chamber of purgatory
TESTORI,testaments
PARROCCHIALE,parish
REVERENDO PRIMO PRETE DI NOSTRA CHIESA,reverend first priest of our church
REVERENDE DISMESSE DI MURAN,reverend dispossessions of muran
REVERENDI PADRI ZERTOSINI,reverend fathers zertosini
MONASTERO DI SAN DOMENICO,monastery of san domenico
PIA FRATERNA DI S. ANTONIN COMMISARRIA EREDITA CORREGGIO,fraternal pious of s. antonin commissioner inherits correggio
MONASTERO DI SANTA MARIA DEGLI ANGELI (di Pordenone),monastery of saint mary of the angels (of pordenone)
MONASTERO DI SANTA MARIA DELLA CROMA (di Ragusa),monastery of santa maria della croma (of ragusa)
PRIMO VICARIO,first vicar
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Bartolomeo),school of the most holy sacrament (of san bartolomeo)
CHIESA DI SAN FANTIN,church of san fantin
SCOLA DE GIUSTITIATI,school of justified
DESMESSE DI MURANO,murano's demesne
SCUOLA,school
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Moisè),school of the most holy sacrament (of san moses)
CHIESA DI SAN ZACCARIA,church of san zaccaria
SEI SOTTO CANONICI,you are under canons
PRINCIPE REGNANTE,reigning prince
MONASTERO DI SAN MAFFIO (di Mazzorbo),monastery of san maffio (of mazzorbo)
PROCURATIA GIOVANNI BATTISTA,procuratia giovanni battista
LE DISMESSE DI MURANO,the disused of murano
LE REVERENDE DISMESSE DI MURANO,the reverend disused of murano
LA CHIESA PER LA PIEVE,the church for the parish
LA CHIESA,the church
FONDI DELLA CHIESA PER DUE POVERE DI CONTRA,church funds for two poor of contra
SCUOLA DI SAN TEODORO USO PROPRIO,school of san teodoro private use
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Salvatore),school of the most holy sacrament (of san salvatore)
DISMESSE DI MURANO,murano disposals
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Samuel),school of the most holy sacrament (of san samuel)
MARANGONI,carpenters
ARTE DEI MARANGONI,craft of carpenters
ARTE DEI MURERI,guild of bricklayers
MURERI,masons
SCUOLA DELLA SANTISSIMA ANNUNZIATA DEGLI ZOTTI,school of the most holy annunciation of the zotti
ARTE DEI CALLEGARI,guild of shoemakers
GOVERNATORI DELLE ENTRATE,governors of revenue
COMISSARIA NOBILI HOMENI,noble commissioner men
SCOLA DELLA SANTISSIMA ANNONZIATA DE CALEGERI TODESCHI,school of the most holy annunciation of calegeri todeschi
SCUOLA DEI CIECHI (di San Moisè),school of the blind (of san moses)
SCOLA DEI CIECHI IN S. MOISE,school of the blind in s. moise
SCOLA OSIA OSPEDAL DE PISTORI TEDESCHI,school otherwise known as the german bakers' hospital
SCOLA OSIA OSPEDAL DE PISTROI TEDESCHI,school or german hospital of pistroi
SCOLA OSIA OSPDAL DE PISTROI TEDESCHI,school or german pistroi hospital
CHIESA DI SAN VIDAL,church of san vidal
MONASTERO DI SAN MAURO (di Burano),monastery of san mauro (of burano)
CAPITOLO DI SAN ZULIAN,chapter of san zulian
NATION ARMENA,armenian nation
CHIESA DI SANTA CHIARA (di Murano),church of santa chiara (of murano)
CANONICI DI CASTELLO,canons of castello
ARTE DEI MARZERI,craft of the marzeri
REVERENDO SIGNOR PIOVAN,reverend mr. piovan
SCUOLA DEI LANERI,school of wool workers
SCUOLA DELLA BEATA VERGINE DELLA CINTURA,school of the blessed virgin of the belt
CHIESA DI SANT'ANGELO,church of saint angel
CHIESA DEI SANTI COSMA E DAMIANO,church of saints cosmas and damian
MONACHE DEL SANTISSIMO NOME DI GIESU E MARIA,nuns of the most holy name of jesus and mary
FABRICIO FULGOSI DALLA MALVASIA,fabricio fulgosi dalla malvasia
MONASTERO DI SAN MARTINO (di Murano),monastery of san martino (of murano)
MONASTERO DI SANTA CATTERINA DI CHIOZA,monastery of saint catherine of chioza
CHIESA DI SAN GIACOMO (di Rialto),church of san giacomo (of rialto)
MONASTERO DI SAN GIACOMO (di Murano),monastery of san giacomo (of murano)
UFFICIO DENARO PUBBLICO,public money office
CHIESA DI SAN GIOVANNI ELEMOSINARIO (di Rialto),church of san giovanni elemosinario (of rialto)
OREFICI,goldsmiths
FUSTAGNERI,woodworkers
SCUOLA DEL SANTISSIMO SACRAMENTO (di San Lio),school of the most holy sacrament (of san lio)
LUGANEGHERI,butchers
CHIESA DI SAN TOMA,church of san toma
PATRIARCATO,patriarchate
CASA DEL SOCCORSO E DELLE PENITENTI,house of aid and repentant women
PRINCIPE,prince
COMPATRONI DE GROSSI DELLE RIVA DA VIN,masters of the banks of grossi from wine
PRIORATO DI CA BADOER,priory of ca badoer
PARTE DI RAGION DELLA PIEVE E PARTE DI RESIDENZA DEL SECONDO PRETE,part of the reason of the parish and part of the residence of the second priest
CROSERA DI SAN PANTALON,crossroads of san pantalon
